reuse_time,counts
1,6988177
2,2250696
3,1445447
4,1103382
5,895386
6,745508
7,635810
8,556383
9,503077
10,466362
11,441856
12,421640
13,404172
14,384983
15,363432
16,337846
17,313345
18,290810
19,268613
20,250791
21,233160
22,217749
23,203664
24,191871
25,180508
26,171312
27,162723
28,154911
29,148961
30,141935
31,136377
32,131161
33,126859
34,123281
35,119325
36,115937
37,114213
38,111535
39,108801
40,106409
41,104810
42,102408
43,99980
44,96765
45,94893
46,92115
47,89943
48,87771
49,85402
50,83422
51,80956
52,78726
53,76554
54,74324
55,71753
56,69311
57,67097
58,64683
59,62153
60,60454
61,57921
62,55842
63,53934
64,51684
65,50165
66,48163
67,46803
68,45402
69,44124
70,42984
71,42104
72,41038
73,40522
74,39892
75,39481
76,38980
77,38563
78,38192
79,37932
80,37822
81,37658
82,37703
83,36669
84,36359
85,35841
86,35809
87,35341
88,34603
89,33774
90,33371
91,32367
92,31753
93,31022
94,29944
95,29333
96,28239
97,27271
98,26628
99,25757
100,25206
101,24342
102,23503
103,22657
104,22330
105,21727
106,21012
107,20807
108,20257
109,19751
110,19244
111,19094
112,18747
113,18453
114,18379
115,18391
116,17858
117,17810
118,17750
119,17238
120,17103
121,16900
122,16600
123,16540
124,16224
125,15829
126,15928
127,15611
128,15263
129,15142
130,14875
131,14291
132,14110
133,13867
134,13610
135,13486
136,13121
137,12922
138,12652
139,12220
140,12212
141,12057
142,11696
143,11706
144,11328
145,11387
146,11082
147,11174
148,10692
149,10754
150,10646
151,10493
152,10424
153,10466
154,10334
155,10090
156,10050
157,10073
158,9868
159,10053
160,9755
161,9723
162,9856
163,9862
164,9726
165,9790
166,9680
167,9569
168,9597
169,9319
170,9594
171,9473
172,9418
173,9644
174,9397
175,9420
176,9364
177,9344
178,9101
179,9055
180,9132
181,9077
182,8836
183,9109
184,8576
185,8748
186,8526
187,8443
188,8416
189,8330
190,8204
191,8066
192,7917
193,7923
194,7852
195,7831
196,7592
197,7496
198,7447
199,7438
200,7313
201,7258
202,7104
203,7058
204,7001
205,6938
206,6810
207,6751
208,6759
209,6724
210,6602
211,6703
212,6442
213,6545
214,6555
215,6513
216,6583
217,6460
218,6445
219,6319
220,6443
221,6517
222,6298
223,6427
224,6341
225,6271
226,6118
227,6271
228,6384
229,6235
230,6289
231,6265
232,6131
233,6222
234,6273
235,6247
236,6308
237,6157
238,6151
239,6203
240,6028
241,6049
242,6100
243,6088
244,6172
245,6105
246,6157
247,6143
248,6084
249,5995
250,6113
251,6089
252,5851
253,6014
254,6113
255,5853
256,5875
258,11737
260,11920
262,11783
264,11940
266,11636
268,11297
270,11314
272,11214
274,11218
276,11056
278,10739
280,10735
282,10710
284,10368
286,10385
288,10069
290,10031
292,9828
294,9565
296,9529
298,9384
300,9047
302,9040
304,8951
306,8905
308,8595
310,8653
312,8334
314,8640
316,8385
318,8244
320,8177
322,8204
324,8204
326,8080
328,8046
330,8144
332,7986
334,7923
336,8059
338,8083
340,7962
342,7968
344,8241
346,7827
348,8026
350,8190
352,8214
354,8267
356,8200
358,8469
360,8178
362,8410
364,8274
366,8182
368,8331
370,8293
372,8338
374,8539
376,8308
378,8258
380,8236
382,8211
384,8224
386,8318
388,8244
390,8320
392,8238
394,8084
396,8116
398,8071
400,8032
402,8017
404,8016
406,8134
408,7899
410,7945
412,8023
414,8007
416,7820
418,7885
420,7855
422,7816
424,7843
426,7908
428,7754
430,7756
432,7785
434,7625
436,7645
438,7467
440,7515
442,7330
444,7353
446,7212
448,7085
450,7195
452,7025
454,6945
456,6924
458,6878
460,6705
462,6804
464,6717
466,6662
468,6716
470,6623
472,6481
474,6505
476,6360
478,6211
480,6391
482,6293
484,6158
486,6206
488,5952
490,6058
492,6054
494,6004
496,5855
498,5836
500,5892
502,5843
504,5843
506,5768
508,5730
510,5639
512,5780
514,5614
516,5653
518,5710
520,5650
522,5688
524,5486
526,5662
528,5582
530,5552
532,5673
534,5486
536,5470
538,5442
540,5497
542,5459
544,5534
546,5620
548,5527
